idx,name en,name es,name de,name pl
orion,Orion Collection,Colección Orión,Orion-Kollektion,Kolekcja Orion
nebula,Nebula Heritage,Herencia Nebula,Nebula-Erbe,Dziedzictwo Nebula
heliox,Heliox Works,Talleres Heliox,Heliox-Werke,Warsztaty Heliox
outpost,Outpost Line,Línea Outpost,Outpost-Linie,Linia Outpost
eclipse,Eclipse Edition,Edición Eclipse,Eclipse-Edition,Edycja Eclipse
quasar,Quasar Series,Serie Quasar,Quasar-Serie,Seria Quasar
borealis,Borealis Frontier,Frontera Borealis,Borealis-Grenze,Rubież Borealis
umbra,Umbra Collection,Colección Umbra,Umbra-Kollektion,Kolekcja Umbra
magnetar,Magnetar Line,Línea Magnetar,Magnetar-Linie,Linia Magnetar
solaris,Solaris Collection,Colección Solaris,Solaris-Kollektion,Kolekcja Solaris
