sku,tax_class,gross,special_price_gross
ENT-S001,standard-rate,1199,
ENT-S002,standard-rate,1049,
ENT-S003,standard-rate,2299,1849
ENT-S004,standard-rate,1749,1299
ENT-S005,standard-rate,1999,
ENT-S006,standard-rate,1449,
ENT-C001,standard-rate,549,
ENT-C002,standard-rate,319,
ENT-C003,standard-rate,829,689
ENT-C004,standard-rate,689,499
ENT-C005,standard-rate,599,
ENT-C006,standard-rate,449,
ENT-O001,standard-rate,269,
ENT-O002,standard-rate,359,
ENT-O003,standard-rate,229,179
ENT-O004,standard-rate,319,
ENT-B001,standard-rate,1379,
ENT-B002,standard-rate,359,
ENT-B003,standard-rate,829,
ENT-B004,standard-rate,1649,
ENT-B005,standard-rate,639,449
ENT-D001,standard-rate,999,
ENT-D002,standard-rate,549,
ENT-D003,standard-rate,399,
ENT-D004,standard-rate,319,
ENT-X001,standard-rate,1999,
ENT-X002,standard-rate,499,
ENT-X003,standard-rate,729,
ENT-CFG01,standard-rate,2499,
ENT-CFG02,standard-rate,1399,
ENT-BND01,standard-rate,1799,1499
ENT-BND02,standard-rate,2299,1899
ENT-CUS01,standard-rate,899,
1C01/N,standard-rate,549,
2R04/NR,standard-rate,449,
