sku,tax_class,gross,special_price_gross
ENT-S001,standard-rate,1299,
ENT-S002,standard-rate,1149,
ENT-S003,standard-rate,2499,1999
ENT-S004,standard-rate,1899,1399
ENT-S005,standard-rate,2199,
ENT-S006,standard-rate,1599,
ENT-C001,standard-rate,599,
ENT-C002,standard-rate,349,
ENT-C003,standard-rate,899,749
ENT-C004,standard-rate,749,549
ENT-C005,standard-rate,649,
ENT-C006,standard-rate,499,
ENT-O001,standard-rate,299,
ENT-O002,standard-rate,399,
ENT-O003,standard-rate,249,199
ENT-O004,standard-rate,349,
ENT-B001,standard-rate,1499,
ENT-B002,standard-rate,399,
ENT-B003,standard-rate,899,
ENT-B004,standard-rate,1799,
ENT-B005,standard-rate,699,499
ENT-D001,standard-rate,1099,
ENT-D002,standard-rate,599,
ENT-D003,standard-rate,449,
ENT-D004,standard-rate,349,
ENT-X001,standard-rate,2199,
ENT-X002,standard-rate,549,
ENT-X003,standard-rate,799,
ENT-CFG01,standard-rate,2699,
ENT-CFG02,standard-rate,1499,
ENT-BND01,standard-rate,1999,1649
ENT-BND02,standard-rate,2499,2099
ENT-CUS01,standard-rate,999,
1C01/N,standard-rate,599,
2R04/NR,standard-rate,499,
